Diagnosis,ICD Code
Fall from stairs and steps due to ice and snow,W001
Other fall from one level to another due to ice and snow,W002
Unspecified fall due to ice and snow,W009
"Fall on same level from slipping, tripping and stumbling",W01
"Fall on same level from slipping, tripping and stumbling without subsequent striking against object",W010
"Fall on same level from slipping, tripping and stumbling with subsequent striking against object",W011
"Fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified object",W0110
"Fall on same level from slipping, tripping and stumbling with subsequent striking against sharp object",W0111
"Fall on same level from slipping, tripping and stumbling with subsequent striking against sharp glass",W01110
"Fall on same level from slipping, tripping and stumbling with subsequent striking against power tool or machine",W01111
"Fall on same level from slipping, tripping and stumbling with subsequent striking against other sharp object",W01118
"Fall on same level from slipping, tripping and stumbling with subsequent striking against unspecified sharp object",W01119
"Fall on same level from slipping, tripping and stumbling with subsequent striking against other object",W0119
"Fall on same level from slipping, tripping and stumbling with subsequent striking against furniture",W01190
"Fall on same level from slipping, tripping and stumbling with subsequent striking against other object",W01198
Other fall on same level due to collision with another person,W03
Fall while being carried or supported by other persons,W04
"Fall from non-moving wheelchair, nonmotorized scooter and motorized mobility scooter",W05
Fall from non-moving wheelchair,W050
Fall from non-moving nonmotorized scooter,W051
Fall from non-moving motorized mobility scooter,W052
Fall from bed,W06
Fall from chair,W07
Fall from other furniture,W08
Fall on and from playground equipment,W09
Fall on or from playground slide,W090
Fall from playground swing,W091
Fall on or from jungle gym,W092
Fall on or from other playground equipment,W098
Fall on and from stairs and steps,W10
Fall (on)(from) escalator,W100
Fall (on)(from) sidewalk curb,W101
Fall (on)(from) incline,W102
Fall (on) (from) other stairs and steps,W108
Fall (on) (from) unspecified stairs and steps,W109
Fall on and from ladder,W11
Fall on and from scaffolding,W12
"Fall from, out of or through building or structure",W13
"Fall from, out of or through balcony",W130
"Fall from, out of or through bridge",W131
"Fall from, out of or through roof",W132
Fall through floor,W133
"Fall from, out of or through window",W134
"Fall from, out of or through other building or structure",W138
"Fall from, out of or through building, not otherwise specified",W139
Fall from tree,W14
Fall from cliff,W15
"Fall, jump or diving into water",W16
Fall into swimming pool,W160
Fall into swimming pool striking water surface,W1601
Fall into swimming pool striking water surface causing drowning and submersion,W16011
Fall into swimming pool striking water surface causing other injury,W16012
Fall into swimming pool striking bottom,W1602
Fall into swimming pool striking bottom causing drowning and submersion,W16021
Fall into swimming pool striking bottom causing other injury,W16022
Fall into swimming pool striking wall,W1603
Fall into swimming pool striking wall causing drowning and submersion,W16031
Fall into swimming pool striking wall causing other injury,W16032
Fall into natural body of water,W161
Fall into natural body of water striking water surface,W1611
Fall into natural body of water striking water surface causing drowning and submersion,W16111
Fall into natural body of water striking water surface causing other injury,W16112
Fall into natural body of water striking bottom,W1612
Fall into natural body of water striking bottom causing drowning and submersion,W16121
Fall into natural body of water striking bottom causing other injury,W16122
Fall into natural body of water striking side,W1613
Fall into natural body of water striking side causing drowning and submersion,W16131
Fall into natural body of water striking side causing other injury,W16132
Fall in (into) filled bathtub or bucket of water,W162
Fall in (into) filled bathtub,W1621
Fall in (into) filled bathtub causing drowning and submersion,W16211
Fall in (into) filled bathtub causing other injury,W16212
Fall in (into) bucket of water,W1622
Fall in (into) bucket of water causing drowning and submersion,W16221
Fall in (into) bucket of water causing other injury,W16222
Fall into other water,W163
Fall into other water striking water surface,W1631
Fall into other water striking water surface causing drowning and submersion,W16311
Fall into other water striking water surface causing other injury,W16312
Fall into other water striking bottom,W1632
Fall into other water striking bottom causing drowning and submersion,W16321
Fall into other water striking bottom causing other injury,W16322
Fall into other water striking wall,W1633
Fall into other water striking wall causing drowning and submersion,W16331
Fall into other water striking wall causing other injury,W16332
Fall into unspecified water,W164
Fall into unspecified water causing drowning and submersion,W1641
Fall into unspecified water causing other injury,W1642
Jumping or diving into swimming pool,W165
Jumping or diving into swimming pool striking water surface,W1651
Jumping or diving into swimming pool striking water surface causing drowning and submersion,W16511
Jumping or diving into swimming pool striking water surface causing other injury,W16512
Jumping or diving into swimming pool striking bottom,W1652
Jumping or diving into swimming pool striking bottom causing drowning and submersion,W16521
Jumping or diving into swimming pool striking bottom causing other injury,W16522
Jumping or diving into swimming pool striking wall,W1653
Jumping or diving into swimming pool striking wall causing drowning and submersion,W16531
Jumping or diving into swimming pool striking wall causing other injury,W16532
Jumping or diving into natural body of water,W166
Jumping or diving into natural body of water striking water surface,W1661
Jumping or diving into natural body of water striking water surface causing drowning and submersion,W16611
Jumping or diving into natural body of water striking water surface causing other injury,W16612
Jumping or diving into natural body of water striking bottom,W1662
Jumping or diving into natural body of water striking bottom causing drowning and submersion,W16621
Jumping or diving into natural body of water striking bottom causing other injury,W16622
Jumping or diving from boat,W167
Jumping or diving from boat striking water surface,W1671
Jumping or diving from boat striking water surface causing drowning and submersion,W16711
Jumping or diving from boat striking water surface causing other injury,W16712
Jumping or diving from boat striking bottom,W1672
